Temp , Ave_energy , Ave_energy^2 , C_v
4.0,-0.61,1.43,0.06611875
3.995,-0.695,1.465,0.061527159261968584
3.99,-0.485,1.425,0.07473414111720404
3.985,-0.49,1.18,0.05918681882655945
3.98,-0.68,1.62,0.07307896265245825
3.975,-0.6,1.43,0.06771884023575016
3.97,-0.635,1.385,0.062291810746848225
3.965,-0.61,1.37,0.06347469742338782
3.96,-0.635,1.405,0.0638821931435568
3.955,-0.565,1.445,0.07197118020205184
3.95,-0.645,1.485,0.06851305880467871
3.945,-0.775,1.585,0.06325087828362416
3.94,-0.695,1.625,0.07356379963410549
3.935,-0.5,1.2,0.06135276386128464
3.93,-0.545,1.345,0.06785249499834897
3.925,-0.585,1.385,0.06768793865876913
3.92,-0.595,1.335,0.06383896032902957
3.915,-0.63,1.44,0.06805537205854288
3.91,-0.48,1.11,0.05753494548047176
3.905,-0.61,1.37,0.06544024945857195
3.9,-0.545,1.405,0.07284516765285996
3.895,-0.505,1.185,0.061299417804663824
3.89,-0.615,1.435,0.06983663866879018
3.885,-0.65,1.41,0.06542670635334727
3.88,-0.63,1.39,0.06596742480603678
3.875,-0.605,1.315,0.06319916753381892
3.87,-0.745,1.705,0.07678324619914667
3.865,-0.57,1.29,0.06460606932885266
3.86,-0.63,1.77,0.09215683642513894
3.855,-0.675,1.645,0.08003317402399902
3.85,-0.585,1.545,0.08114521841794567
3.845,-0.535,1.285,0.06755771855093587
3.84,-0.665,1.505,0.07207404242621528
3.835,-0.725,1.505,0.06659142020333543
3.83,-0.595,1.455,0.07505504843580635
3.825,-0.655,1.455,0.07012516553462346
3.82,-0.65,1.53,0.07589567171952523
3.815,-0.48,1.19,0.0659327446153952
3.81,-0.715,1.535,0.07052686327594877
3.805,-0.605,1.635,0.08764834982672015
3.8,-0.665,1.295,0.05905644044321328
3.795,-0.495,1.245,0.06943294432553757
3.79,-0.65,1.49,0.07431722140614448
3.785,-0.67,1.49,0.07267092342888651
3.78,-0.515,1.285,0.07137083228353072
3.775,-0.51,1.33,0.07507740888557522
3.77,-0.605,1.455,0.07661877590076623
3.765,-0.57,1.58,0.08854180445107573
3.76,-0.63,1.63,0.08722131054775914
3.755,-0.615,1.275,0.06360095106214352
3.75,-0.585,1.235,0.06348622222222224
3.745,-0.575,1.335,0.07161306307831893
3.74,-0.475,1.375,0.08217099430924531
3.735,-0.615,1.555,0.08435527025549767
3.73,-0.55,1.26,0.06882102221679162
3.725,-0.735,1.585,0.07529570740056755
3.72,-0.565,1.625,0.09435881315759047
3.715,-0.595,1.425,0.07759999565255983
3.71,-0.56,1.4,0.07892996999440571
3.705,-0.535,1.405,0.08150163637059013
3.7,-0.695,1.605,0.08195580715850984
3.695,-0.565,1.405,0.07952633207659109
3.69,-0.555,1.535,0.09011207320745296
3.685,-0.73,1.58,0.07711043892416541
3.68,-0.565,1.445,0.08312965205576561
3.675,-0.76,1.59,0.07496135869313714
3.67,-0.73,1.51,0.07254489973197516
3.665,-0.785,1.595,0.0728676745662018
3.66,-0.505,1.475,0.09107281495416404
3.655,-0.62,1.43,0.07826918506402974
3.65,-0.565,1.225,0.06798836554700695
3.645,-0.395,1.225,0.0804586021778523
3.64,-0.575,1.375,0.07882313428329911
3.635,-0.535,1.285,0.07558904052568545
3.63,-0.65,1.64,0.09239654243410816
3.625,-0.625,1.445,0.08023781212841855
3.62,-0.73,1.59,0.08066756204023079
3.615,-0.44,1.2,0.07701122378899963
3.61,-0.69,1.43,0.07319618480521176
3.605,-0.71,1.46,0.07355325955436373
3.6,-0.495,1.355,0.08564621913580248
3.595,-0.625,1.555,0.09009383686583707
3.59,-0.57,1.48,0.08962531327348484
3.585,-0.76,1.55,0.07566005108064947
3.58,-0.7,1.5,0.07880528073405949
3.575,-0.54,1.28,0.07733581104210473
3.57,-0.635,1.345,0.07389426358778806
3.565,-0.685,1.665,0.09408716896584961
3.56,-0.71,1.4,0.07069025375583891
3.555,-0.69,1.58,0.08734750880774489
3.55,-0.645,1.505,0.08640944257091845
3.545,-0.66,1.41,0.07753625062415329
3.54,-0.69,1.51,0.08250343132560886
3.535,-0.605,1.435,0.08554383423793986
3.53,-0.74,1.54,0.07964111741527498
3.525,-0.695,1.615,0.09110004526935268
3.52,-0.615,1.585,0.09739596784607439
3.515,-0.65,1.47,0.08478194448097867
3.51,-0.71,1.51,0.08164706455304747
3.505,-0.77,1.53,0.07627986105034383
3.5,-0.71,1.43,0.07558367346938774
3.495,-0.62,1.58,0.09787945583410593
3.49,-0.645,1.525,0.09104810305334109
3.485,-0.64,1.42,0.08319318909283277
3.48,-0.67,1.48,0.0851416963931827
3.475,-0.72,1.73,0.10033435122405672
3.47,-0.79,1.57,0.07855725070385104
3.465,-0.535,1.425,0.09484871389633298
3.46,-0.68,1.49,0.08583647966854889
3.455,-0.77,1.53,0.07850364726554565
3.45,-0.745,1.695,0.09577609745851715
3.445,-0.69,1.43,0.08037563116019725
3.44,-0.76,1.71,0.09569361817198486
3.435,-0.685,1.635,0.09880098057287659
3.43,-0.64,1.5,0.09268247073923278
3.425,-0.65,1.52,0.09355852735894295
3.42,-0.55,1.17,0.07416812010533154
3.415,-0.715,1.465,0.08178327891976019
3.41,-0.565,1.375,0.09079514280062949
3.405,-0.75,1.56,0.08603569511019686
3.4,-0.64,1.3,0.07702422145328722
3.395,-0.67,1.45,0.08685561587798048
3.39,-0.685,1.645,0.10231158796042499
3.385,-0.765,1.705,0.09772674214374392
3.38,-0.69,1.61,0.0992524771541613
3.375,-0.68,1.8,0.11742990397805211
3.37,-0.675,1.415,0.08447507682554216
3.365,-0.635,1.495,0.09641908555204018
3.36,-0.94,1.89,0.08914399092970521
3.355,-0.7,1.55,0.0941717879979833
3.35,-0.63,1.42,0.09116507017153039
3.345,-0.625,1.485,0.09780789657722633
3.34,-0.625,1.505,0.0998937753236043
3.335,-0.635,1.525,0.10085886591936417
3.33,-0.775,1.615,0.091476611746882
3.325,-0.67,1.59,0.10321442704505623
3.32,-0.725,1.545,0.09248212730439834
3.315,-0.66,1.49,0.09594853140235093
3.31,-0.565,1.375,0.09636412592071997
3.305,-0.76,1.66,0.0990934287891861
3.3,-0.605,1.425,0.09724288337924702
3.295,-0.775,1.655,0.09711454104600475
3.29,-0.625,1.505,0.10295313236204394
3.285,-0.71,1.48,0.09043458921484816
3.28,-0.675,1.645,0.11055314916716241
3.275,-0.84,1.69,0.09178019928908573
3.27,-0.66,1.68,0.1163762870689897
3.265,-0.755,1.665,0.1027159370463569
3.26,-0.82,1.61,0.08822311716662277
3.255,-0.83,1.69,0.09448774306809093
3.25,-0.725,1.595,0.10124260355029586
3.245,-0.68,1.67,0.11468158907504965
3.24,-0.68,1.54,0.10265203475080016
3.235,-0.64,1.59,0.11279260598792669
3.23,-0.78,1.77,0.11134008760747253
3.225,-0.785,1.645,0.09891472868217055
3.22,-0.735,1.625,0.10462318197600401
3.215,-0.565,1.395,0.10407813297407903
3.21,-0.76,1.53,0.09242922720082297
3.205,-0.815,1.615,0.09255964622360247
3.2,-0.77,1.5,0.08858398437500001
3.195,-0.84,1.72,0.09937279738245158
3.19,-0.89,1.98,0.11673430882165076
3.185,-0.77,1.73,0.11209333389194345
3.18,-0.88,1.83,0.10438669356433684
3.175,-0.74,1.5,0.09447826895653792
3.17,-0.76,1.54,0.09577167650190568
3.165,-0.865,1.895,0.11448030767003835
3.16,-0.825,1.815,0.113601085563211
3.155,-0.8,1.68,0.10448034840177718
3.15,-0.615,1.435,0.1065028974552784
3.145,-0.815,1.755,0.11027926832658899
3.14,-0.85,1.77,0.10624163252058906
3.135,-0.595,1.355,0.10184697643775963
3.13,-0.875,1.795,0.1050715022098827
3.125,-0.745,1.455,0.09215744000000001
3.12,-0.915,1.805,0.09941804322813934
3.115,-0.79,1.64,0.1046971496590051
3.11,-0.84,1.85,0.11831970306345055
3.105,-0.805,1.765,0.11585645717130696
3.1,-0.74,1.7,0.11991675338189386
3.095,-0.72,1.61,0.11395731820305305
3.09,-0.67,1.51,0.11113205768686966
3.085,-0.65,1.5,0.11321577455613374
3.08,-0.785,1.595,0.10317665289256198
3.075,-0.92,1.94,0.11565602485293143
3.07,-0.7,1.62,0.1198951713015523
3.065,-0.765,1.625,0.1106823607056463
3.06,-0.725,1.585,0.11313757529155453
3.055,-0.765,1.595,0.10819375282933451
3.05,-0.78,1.69,0.11626981994087611
