Temp , Ave_energy , Ave_energy^2 , C_v
4.0,-0.5663,1.3805,0.066237769375
3.995,-0.57345,1.37415,0.06549520426816374
3.99,-0.57315,1.38405,0.0663029175382064
3.985,-0.5725,1.4071,0.06796778698034821
3.98,-0.5578,1.374,0.06709800005050377
3.975,-0.5749,1.3871,0.06687013899766624
3.97,-0.5767,1.4141,0.06862026343673269
3.965,-0.56595,1.36645,0.06654383468845462
3.96,-0.5863,1.4301,0.06927560389245996
3.955,-0.58455,1.43075,0.06962342136008604
3.95,-0.5904,1.4202,0.06868308540298025
3.945,-0.57945,1.37445,0.06674073308370321
3.94,-0.58535,1.41265,0.06892830126388208
3.935,-0.56275,1.37275,0.06820247300074755
3.93,-0.59865,1.43715,0.06984623904978343
3.925,-0.58555,1.40725,0.0690904262241876
3.92,-0.5841,1.4049,0.06922422883694294
3.915,-0.57795,1.41285,0.0703861134354066
3.91,-0.5738,1.3829,0.0689198500794736
3.905,-0.5807,1.3902,0.06905277616109884
3.9,-0.62385,1.46325,0.07061546203155819
3.895,-0.5996,1.4343,0.07084424684554932
3.89,-0.56965,1.38705,0.07021820352099178
3.885,-0.6031,1.4662,0.07304405718459772
3.88,-0.60805,1.45395,0.07202048553911151
3.875,-0.59585,1.43735,0.07207910276795003
3.87,-0.61135,1.45545,0.07222463777550761
3.865,-0.60275,1.43165,0.071517361500446
3.86,-0.5857,1.3992,0.07088482308249887
3.855,-0.59745,1.42065,0.07157672485578888
3.85,-0.60215,1.42965,0.0719895683926463
3.845,-0.61885,1.46695,0.07332067400454205
3.84,-0.59065,1.40485,0.07161340179443361
3.835,-0.5987,1.4242,0.07246494903015353
3.83,-0.60035,1.43375,0.0731704406942579
3.825,-0.62685,1.46405,0.07321006980221284
3.82,-0.59985,1.42085,0.07271113576245168
3.815,-0.62745,1.47405,0.074229750982962
3.81,-0.59775,1.42095,0.07327346446359558
3.805,-0.5907,1.4197,0.0739585343995469
3.8,-0.61355,1.44735,0.07416249290166203
3.795,-0.5992,1.4095,0.07293830971686274
3.79,-0.5915,1.4217,0.07461851073161563
3.785,-0.5978,1.4085,0.07337139825739158
3.78,-0.644,1.512,0.07679404271996867
3.775,-0.60925,1.45665,0.07616960221042939
3.77,-0.62695,1.48925,0.07712596989354742
3.765,-0.62505,1.47505,0.07649702191675968
3.76,-0.6257,1.464,0.07586149770823901
3.755,-0.61205,1.44685,0.07604559548653284
3.75,-0.61025,1.43975,0.07590008444444446
3.745,-0.61275,1.44215,0.07605600970408251
3.74,-0.6309,1.4789,0.07727309831565099
3.735,-0.6521,1.5266,0.07894966496956142
3.73,-0.64505,1.49555,0.07758702337399105
3.725,-0.6114,1.4333,0.0763562030539165
3.72,-0.6228,1.4658,0.07789340964273325
3.715,-0.6217,1.4427,0.07652864944959596
3.71,-0.625,1.4595,0.07765673018940576
3.705,-0.66025,1.52105,0.07904989883095573
3.7,-0.64485,1.50875,0.07983334386413439
3.695,-0.59495,1.40295,0.07683165434033849
3.69,-0.61375,1.41145,0.07599539791129621
3.685,-0.6165,1.4525,0.07897562268833455
3.68,-0.6452,1.4986,0.07992061672967864
3.675,-0.62835,1.46955,0.07957619714008053
3.67,-0.6672,1.5564,0.08250444802470878
3.665,-0.63265,1.47575,0.08006893701527483
3.66,-0.6347,1.4731,0.07989607856311026
3.655,-0.64695,1.49955,0.0809195055402621
3.65,-0.62625,1.45685,0.07991450084443609
3.645,-0.67595,1.57315,0.0840162198626
3.64,-0.64505,1.48735,0.08085228969176426
3.635,-0.6294,1.4583,0.08038579831948674
3.63,-0.6719,1.5401,0.08261809606204798
3.625,-0.62795,1.44275,0.07978530682520807
3.62,-0.6497,1.4816,0.08084993666249504
3.615,-0.65765,1.52315,0.08345788946088697
3.61,-0.66945,1.50645,0.0812061523085305
3.605,-0.63175,1.45055,0.08090488726360559
3.6,-0.62905,1.44715,0.08113010011574075
3.595,-0.6353,1.4564,0.08146021924284422
3.59,-0.64655,1.47715,0.08217837365476681
3.585,-0.6355,1.4656,0.08261135717745371
3.58,-0.6541,1.5119,0.08458328313723043
3.575,-0.6616,1.5156,0.08433745924006064
3.57,-0.64855,1.48335,0.08338495378543576
3.565,-0.65355,1.51045,0.08523906040690916
3.56,-0.67365,1.53665,0.08544104891270043
3.555,-0.6782,1.5289,0.08458163043671775
3.55,-0.63605,1.43155,0.0814910055544535
