Temp , Ave_energy , Ave_energy^2 , C_v
2.92,-0.771,1.563,0.11359530399699755
2.895,-0.894,1.738,0.11201064308959821
2.87,-0.785,1.609,0.12052774708931756
2.845,-0.854,1.746,0.12560919937855392
2.82,-0.886,1.866,0.13593430913937932
2.795,-0.799,1.545,0.11605172794505904
2.77,-0.815,1.669,0.13095113972552752
2.745,-0.815,1.631,0.12830415293910769
2.72,-0.909,1.815,0.13363957071799304
2.695,-0.919,1.787,0.1297584684067589
2.67,-0.939,1.823,0.13203706041605298
2.645,-0.835,1.625,0.1326145918575191
2.62,-0.831,1.687,0.14516039275100517
2.595,-0.818,1.586,0.1361557166776185
2.57,-0.834,1.678,0.1487447198292177
2.545,-0.918,1.798,0.1474868477425979
2.52,-0.92,1.86,0.15961199294532627
2.495,-0.815,1.543,0.14116810775860336
2.47,-0.897,1.741,0.15348407611991674
2.445,-0.935,1.817,0.15770676770338027
2.42,-0.879,1.685,0.15578836828085516
2.395,-0.84,1.642,0.16324893981459285
2.37,-0.89,1.692,0.1602129288397514
2.345,-1.053,2.009,0.16370011047412947
2.32,-0.91,1.736,0.16867939952437574
2.295,-1.079,2.047,0.16760106511740508
2.27,-0.95,1.822,0.17844320673795339
2.245,-0.979,1.863,0.17947510181001083
2.22,-1.02,1.916,0.17766415063712357
2.195,-1.002,1.954,0.19717539863325748
2.17,-0.877,1.645,0.18600331287561853
2.145,-0.987,1.873,0.19535451339647145
2.12,-1.087,2.033,0.18944263972944106
2.095,-1.054,1.938,0.1884436748480585
2.07,-1.016,1.87,0.195510747041938
2.045,-1.069,2.009,0.2071338645751759
2.02,-1.055,1.885,0.18919101068522695
1.995,-1.049,1.945,0.21220947104603616
1.97,-1.078,2.014,0.2195150609394727
1.945,-1.094,2.032,0.22076618579047186
1.92,-1.053,1.971,0.23388427734375009
1.895,-1.121,2.053,0.2217637025640312
1.87,-1.083,1.939,0.21908290199891334
1.845,-1.089,1.975,0.231807639485609
1.82,-1.167,2.111,0.22615354425793985
1.795,-1.2,2.202,0.23649723388241867
1.77,-1.097,2.027,0.2628845478630024
1.745,-1.253,2.281,0.2334926642638403
1.72,-1.198,2.092,0.22201054624121153
1.695,-1.191,2.255,0.2911631468574063
1.67,-1.215,2.205,0.2613127039334505
1.645,-1.214,2.166,0.25580103657578923
1.62,-1.161,2.009,0.2518971955494588
1.595,-1.262,2.262,0.2631090496359117
1.57,-1.319,2.343,0.2447316321148931
1.545,-1.184,2.104,0.29415024978791615
1.52,-1.273,2.225,0.26163045360110826
1.495,-1.276,2.268,0.2862715182156798
1.47,-1.266,2.198,0.2754611504465731
1.445,-1.183,2.049,0.31106476215562534
1.42,-1.222,2.098,0.2998988295973022
1.395,-1.201,2.119,0.34768258372836935
1.37,-1.282,2.244,0.3199296712664501
1.345,-1.244,2.194,0.3573549287599674
1.32,-1.257,2.179,0.3437505739210284
1.295,-1.266,2.22,0.3680589138504198
1.27,-1.268,2.234,0.3882298964597928
1.245,-1.164,2.026,0.43296333930097886
1.22,-1.363,2.349,0.3300396398817524
1.195,-1.342,2.362,0.39287547486913726
1.17,-1.306,2.266,0.4093534955073416
1.145,-1.352,2.35,0.3982349688221048
1.12,-1.364,2.402,0.4316836734693875
1.095,-1.305,2.291,0.49037759846542
1.07,-1.365,2.401,0.4697135120971263
1.045,-1.41,2.526,0.4925711407705869
1.02,-1.189,2.005,0.5683189158016144
0.995,-1.311,2.259,0.5457225827630614
0.97,-1.325,2.337,0.6178924434052506
0.945,-1.21,2.03,0.6336888664930994
0.92,-1.468,2.63,0.5611720226843098
