temp,i,j,"a[i,j]"
2.92,0,0,1
2.92,0,1,-1
2.92,0,2,-1
2.92,0,3,1
2.92,0,4,1
2.92,0,5,1
2.92,0,6,1
2.92,0,7,-1
2.92,0,8,1
2.92,0,9,1
2.92,0,10,-1
2.92,0,11,1
2.92,0,12,1
2.92,0,13,1
2.92,0,14,1
2.92,0,15,-1
2.92,0,16,1
2.92,0,17,1
2.92,0,18,-1
2.92,0,19,1
2.92,0,20,-1
2.92,0,21,1
2.92,0,22,1
2.92,0,23,-1
2.92,0,24,1
2.92,0,25,1
2.92,0,26,-1
2.92,0,27,-1
2.92,0,28,-1
2.92,0,29,-1
2.92,0,30,1
2.92,0,31,1
2.92,0,32,1
2.92,0,33,-1
2.92,0,34,1
2.92,0,35,1
2.92,0,36,1
2.92,0,37,1
2.92,0,38,-1
2.92,0,39,1
2.92,0,40,-1
2.92,0,41,-1
2.92,0,42,1
2.92,0,43,1
2.92,0,44,1
2.92,0,45,1
2.92,0,46,-1
2.92,0,47,1
2.92,0,48,1
2.92,0,49,-1
2.92,1,0,-1
2.92,1,1,1
2.92,1,2,1
2.92,1,3,1
2.92,1,4,1
2.92,1,5,1
2.92,1,6,-1
2.92,1,7,-1
2.92,1,8,-1
2.92,1,9,-1
2.92,1,10,-1
2.92,1,11,-1
2.92,1,12,1
2.92,1,13,1
2.92,1,14,1
2.92,1,15,-1
2.92,1,16,1
2.92,1,17,1
2.92,1,18,-1
2.92,1,19,1
2.92,1,20,-1
2.92,1,21,1
2.92,1,22,1
2.92,1,23,-1
2.92,1,24,1
2.92,1,25,-1
2.92,1,26,1
2.92,1,27,1
2.92,1,28,-1
2.92,1,29,1
2.92,1,30,-1
2.92,1,31,1
2.92,1,32,-1
2.92,1,33,1
2.92,1,34,-1
2.92,1,35,1
2.92,1,36,1
2.92,1,37,1
2.92,1,38,-1
2.92,1,39,1
2.92,1,40,1
2.92,1,41,-1
2.92,1,42,1
2.92,1,43,1
2.92,1,44,-1
2.92,1,45,-1
2.92,1,46,1
2.92,1,47,1
2.92,1,48,1
2.92,1,49,1
2.92,2,0,1
2.92,2,1,-1
2.92,2,2,-1
2.92,2,3,1
2.92,2,4,1
2.92,2,5,1
2.92,2,6,1
2.92,2,7,-1
2.92,2,8,1
2.92,2,9,1
2.92,2,10,1
2.92,2,11,1
2.92,2,12,1
2.92,2,13,-1
2.92,2,14,1
2.92,2,15,-1
2.92,2,16,-1
2.92,2,17,-1
2.92,2,18,1
2.92,2,19,1
2.92,2,20,-1
2.92,2,21,-1
2.92,2,22,1
2.92,2,23,1
2.92,2,24,-1
2.92,2,25,-1
2.92,2,26,-1
2.92,2,27,-1
2.92,2,28,1
2.92,2,29,-1
2.92,2,30,-1
2.92,2,31,1
2.92,2,32,1
2.92,2,33,-1
2.92,2,34,-1
2.92,2,35,-1
2.92,2,36,-1
2.92,2,37,-1
2.92,2,38,1
2.92,2,39,-1
2.92,2,40,1
2.92,2,41,1
2.92,2,42,1
2.92,2,43,1
2.92,2,44,-1
2.92,2,45,1
2.92,2,46,-1
2.92,2,47,1
2.92,2,48,1
2.92,2,49,-1
2.92,3,0,1
2.92,3,1,-1
2.92,3,2,-1
2.92,3,3,1
2.92,3,4,1
2.92,3,5,1
2.92,3,6,-1
2.92,3,7,-1
2.92,3,8,-1
2.92,3,9,1
2.92,3,10,1
2.92,3,11,1
2.92,3,12,-1
2.92,3,13,-1
2.92,3,14,1
2.92,3,15,1
2.92,3,16,-1
2.92,3,17,-1
2.92,3,18,1
2.92,3,19,1
2.92,3,20,1
2.92,3,21,-1
2.92,3,22,1
2.92,3,23,1
2.92,3,24,1
2.92,3,25,1
2.92,3,26,-1
2.92,3,27,-1
2.92,3,28,1
2.92,3,29,1
2.92,3,30,1
2.92,3,31,1
2.92,3,32,1
2.92,3,33,1
2.92,3,34,-1
2.92,3,35,-1
2.92,3,36,1
2.92,3,37,-1
2.92,3,38,-1
2.92,3,39,-1
2.92,3,40,1
2.92,3,41,1
2.92,3,42,-1
2.92,3,43,1
2.92,3,44,-1
2.92,3,45,-1
2.92,3,46,-1
2.92,3,47,1
2.92,3,48,1
2.92,3,49,1
2.92,4,0,1
2.92,4,1,1
2.92,4,2,-1
2.92,4,3,-1
2.92,4,4,1
2.92,4,5,1
2.92,4,6,1
2.92,4,7,1
2.92,4,8,1
2.92,4,9,1
2.92,4,10,-1
2.92,4,11,-1
2.92,4,12,-1
2.92,4,13,-1
2.92,4,14,-1
2.92,4,15,1
2.92,4,16,1
